Vardas                                  Pavarde                                 ND0                 ND1                 ND2                 ND3                 ND4                 ND5                 ND6                 Egz       
Vardas1                                 Pavarde1                                9                   3                   8                   0                   2                   4                   8                   3                   
Vardas2                                 Pavarde2                                9                   0                   5                   2                   2                   7                   3                   7                   
Vardas3                                 Pavarde3                                9                   0                   2                   3                   9                   9                   7                   0                   
Vardas4                                 Pavarde4                                3                   9                   8                   6                   5                   7                   6                   2                   
Vardas5                                 Pavarde5                                7                   0                   3                   9                   9                   9                   1                   7                   
Vardas6                                 Pavarde6                                2                   3                   6                   5                   5                   8                   1                   4                   
Vardas7                                 Pavarde7                                7                   1                   3                   8                   4                   8                   0                   4                   
Vardas8                                 Pavarde8                                6                   0                   3                   2                   6                   9                   4                   1                   
Vardas9                                 Pavarde9                                3                   7                   8                   8                   3                   8                   1                   5                   
Vardas10                                Pavarde10                               3                   5                   4                   3                   6                   5                   9                   5                   
Vardas11                                Pavarde11                               4                   9                   1                   7                   5                   5                   4                   1                   
Vardas12                                Pavarde12                               8                   8                   3                   5                   2                   2                   6                   6                   
Vardas13                                Pavarde13                               7                   8                   4                   1                   7                   1                   8                   7                   
Vardas14                                Pavarde14                               8                   7                   7                   4                   4                   9                   1                   5                   
Vardas15                                Pavarde15                               5                   5                   8                   2                   9                   8                   2                   0                   
Vardas16                                Pavarde16                               7                   4                   8                   5                   8                   3                   0                   6                   
Vardas17                                Pavarde17                               2                   2                   5                   2                   2                   7                   1                   5                   
Vardas18                                Pavarde18                               2                   1                   1                   0                   1                   8                   7                   6                   
Vardas19                                Pavarde19                               0                   0                   9                   5                   6                   2                   8                   5                   
Vardas20                                Pavarde20                               9                   4                   3                   9                   0                   5                   6                   3                   
Vardas21                                Pavarde21                               6                   3                   0                   8                   4                   0                   4                   6                   
Vardas22                                Pavarde22                               4                   6                   4                   3                   8                   4                   0                   0                   
Vardas23                                Pavarde23                               9                   3                   7                   5                   7                   2                   9                   7                   
Vardas24                                Pavarde24                               5                   6                   5                   3                   0                   4                   8                   5                   
Vardas25                                Pavarde25                               5                   5                   4                   2                   1                   9                   2                   4                   
Vardas26                                Pavarde26                               5                   8                   6                   2                   5                   1                   3                   9                   
Vardas27                                Pavarde27                               7                   3                   7                   5                   0                   2                   1                   8                   
Vardas28                                Pavarde28                               7                   1                   5                   5                   8                   5                   6                   7                   
Vardas29                                Pavarde29                               9                   4                   1                   6                   1                   2                   0                   4                   
Vardas30                                Pavarde30                               4                   5                   9                   7                   5                   3                   9                   0                   
Vardas31                                Pavarde31                               5                   5                   6                   3                   2                   6                   8                   9                   
Vardas32                                Pavarde32                               1                   4                   8                   8                   7                   1                   9                   3                   
Vardas33                                Pavarde33                               1                   1                   4                   9                   5                   9                   0                   9                   
Vardas34                                Pavarde34                               3                   4                   0                   7                   5                   7                   5                   0                   
Vardas35                                Pavarde35                               6                   4                   7                   8                   4                   0                   0                   6                   
Vardas36                                Pavarde36                               2                   4                   7                   4                   1                   8                   5                   8                   
Vardas37                                Pavarde37                               9                   9                   9                   3                   3                   7                   7                   3                   
Vardas38                                Pavarde38                               2                   5                   6                   3                   4                   0                   6                   0                   
Vardas39                                Pavarde39                               4                   0                   5                   6                   8                   5                   3                   7                   
Vardas40                                Pavarde40                               6                   8                   6                   7                   1                   8                   4                   9                   
Vardas41                                Pavarde41                               7                   3                   1                   0                   2                   3                   7                   1                   
Vardas42                                Pavarde42                               8                   9                   3                   7                   4                   8                   0                   4                   
Vardas43                                Pavarde43                               0                   5                   7                   0                   0                   5                   6                   7                   
Vardas44                                Pavarde44                               8                   0                   6                   5                   7                   3                   4                   3                   
Vardas45                                Pavarde45                               0                   4                   8                   7                   5                   9                   5                   3                   
Vardas46                                Pavarde46                               2                   7                   3                   9                   7                   7                   9                   5                   
Vardas47                                Pavarde47                               3                   3                   3                   8                   5                   8                   9                   6                   
Vardas48                                Pavarde48                               0                   4                   2                   3                   3                   7                   0                   0                   
Vardas49                                Pavarde49                               1                   0                   3                   0                   0                   3                   8                   3                   
Vardas50                                Pavarde50                               6                   0                   4                   0                   9                   2                   4                   9                   
Vardas51                                Pavarde51                               2                   9                   1                   0                   9                   3                   0                   0                   
Vardas52                                Pavarde52                               3                   0                   1                   9                   8                   6                   9                   0                   
Vardas53                                Pavarde53                               1                   6                   4                   4                   8                   6                   1                   4                   
Vardas54                                Pavarde54                               0                   8                   1                   0                   3                   1                   1                   5                   
Vardas55                                Pavarde55                               0                   8                   4                   9                   3                   0                   5                   2                   
Vardas56                                Pavarde56                               3                   8                   7                   8                   0                   4                   5                   7                   
Vardas57                                Pavarde57                               1                   0                   6                   0                   3                   3                   5                   0                   
Vardas58                                Pavarde58                               2                   3                   2                   7                   1                   0                   0                   9                   
